epoch,learning_rate,step,test_crossentropy,test_dice,test_loss,train_crossentropy,train_dice,train_loss,val_crossentropy,val_dice,val_loss
0,,30,,,,,,,3.6110873222351074,0.9142543077468872,4.525343418121338
0,9.999999747378752e-05,30,,,,1.3619288206100464,0.8463882207870483,2.2083170413970947,,,
1,,61,,,,,,,64.6460189819336,0.8413358926773071,65.48735809326172
1,9.999999747378752e-05,61,,,,1.3302117586135864,0.8173518180847168,2.1475629806518555,,,
2,,92,,,,,,,74.86054992675781,0.7695873975753784,75.63011169433594
2,9.999999747378752e-05,92,,,,1.2516940832138062,0.8121235370635986,2.0638177394866943,,,
3,,123,,,,,,,178.31854248046875,0.7532081007957458,179.0717315673828
3,9.999999747378752e-05,123,,,,1.1683802604675293,0.802233099937439,1.9706133604049683,,,
4,,154,,,,,,,282.90234375,0.7599180340766907,283.6622314453125
4,9.999999747378752e-05,154,,,,1.283051609992981,0.8017539381980896,2.084805488586426,,,
5,,185,,,,,,,29.237825393676758,0.7741836309432983,30.012014389038086
5,9.999999747378752e-05,185,,,,1.2083276510238647,0.7949768900871277,2.0033044815063477,,,
6,,216,,,,,,,28.953601837158203,0.9176719784736633,29.87127113342285
6,9.999999747378752e-05,216,,,,1.181366205215454,0.7829917669296265,1.9643577337265015,,,
7,,247,,,,,,,27.921552658081055,0.7859190106391907,28.707475662231445
7,9.999999747378752e-05,247,,,,1.1591814756393433,0.7825978994369507,1.941779375076294,,,
8,,278,,,,,,,43.89686584472656,0.8019298315048218,44.69880294799805
8,9.999999747378752e-05,278,,,,1.1489946842193604,0.782956063747406,1.9319506883621216,,,
9,,309,,,,,,,43.14053726196289,0.7514057755470276,43.89193344116211
9,9.999999747378752e-05,309,,,,1.25364089012146,0.8066173791885376,2.060258150100708,,,
10,,340,,,,,,,30.778539657592773,0.7602828741073608,31.538820266723633
10,9.999999747378752e-05,340,,,,1.1980146169662476,0.7837479710578918,1.9817630052566528,,,
11,,371,,,,,,,1.7097210884094238,0.848694920539856,2.558415651321411
11,9.999999747378752e-06,371,,,,1.1985399723052979,0.7626026272773743,1.9611424207687378,,,
12,,402,,,,,,,1.3619035482406616,0.7925766110420227,2.154480218887329
12,9.999999747378752e-06,402,,,,1.2407069206237793,0.7759014368057251,2.016608238220215,,,
13,,433,,,,,,,1.3415390253067017,0.7941171526908875,2.135655403137207
13,9.999999747378752e-06,433,,,,1.1895956993103027,0.7569186091423035,1.9465144872665405,,,
14,,464,,,,,,,1.2667968273162842,0.7790181040763855,2.04581618309021
14,9.999999747378752e-06,464,,,,1.1702574491500854,0.7556622624397278,1.925919532775879,,,
15,,495,,,,,,,1.2469536066055298,0.7644500136375427,2.0114023685455322
15,9.999999747378752e-06,495,,,,1.1691811084747314,0.7510003447532654,1.920181155204773,,,
16,,526,,,,,,,1.249037504196167,0.749531626701355,1.9985679388046265
16,9.999999747378752e-06,526,,,,1.1333762407302856,0.7484912872314453,1.8818676471710205,,,
17,,557,,,,,,,1.105625867843628,0.7350643873214722,1.8406898975372314
17,9.999999974752427e-07,557,,,,1.1445155143737793,0.7561607956886292,1.9006761312484741,,,
18,,588,,,,,,,1.070115089416504,0.7335312366485596,1.8036465644836426
18,9.999999974752427e-07,588,,,,1.1072953939437866,0.7501093149185181,1.8574048280715942,,,
19,,619,,,,,,,1.0612671375274658,0.7356792688369751,1.7969475984573364
19,9.999999974752427e-07,619,,,,1.1685807704925537,0.75904780626297,1.927628755569458,,,
20,,650,,,,,,,1.0555052757263184,0.7335061430931091,1.7890112400054932
20,9.999999974752427e-07,650,,,,1.2139073610305786,0.7645742297172546,1.9784817695617676,,,
21,,681,,,,,,,1.081208348274231,0.7310246229171753,1.8122329711914062
21,9.999999974752427e-07,681,,,,1.1296653747558594,0.7517111301422119,1.8813766241073608,,,
22,,712,,,,,,,1.0460538864135742,0.7322471141815186,1.7783013582229614
22,9.999999974752427e-07,712,,,,1.1347661018371582,0.7492700815200806,1.8840364217758179,,,
23,,743,,,,,,,1.0385462045669556,0.7384480834007263,1.776993989944458
23,1.0000000116860974e-07,743,,,,1.1965501308441162,0.7586533427238464,1.9552035331726074,,,
24,,774,,,,,,,1.0269887447357178,0.7356003522872925,1.7625892162322998
24,1.0000000116860974e-07,774,,,,1.1893905401229858,0.7532676458358765,1.9426580667495728,,,
25,,805,,,,,,,1.0313923358917236,0.7348587512969971,1.7662509679794312
25,1.0000000116860974e-07,805,,,,1.0998607873916626,0.7384025454521179,1.8382631540298462,,,
26,,836,,,,,,,1.032130479812622,0.7358006834983826,1.7679314613342285
26,1.0000000116860974e-07,836,,,,1.0914524793624878,0.7381691336631775,1.8296213150024414,,,
27,,867,,,,,,,1.0411232709884644,0.7359936237335205,1.7771164178848267
27,1.0000000116860974e-07,867,,,,1.2279508113861084,0.7509559988975525,1.9789071083068848,,,
28,,898,,,,,,,1.0276730060577393,0.7346186637878418,1.7622919082641602
28,1.0000000116860974e-07,898,,,,1.1937817335128784,0.7494073510169983,1.943189024925232,,,
29,,929,,,,,,,1.032508134841919,0.7386314868927002,1.7711396217346191
29,9.99999993922529e-09,929,,,,1.1424838304519653,0.7525495290756226,1.895033359527588,,,
30,,960,,,,,,,1.0374540090560913,0.7350568175315857,1.7725106477737427
30,9.99999993922529e-09,960,,,,1.117682933807373,0.7465908527374268,1.864273190498352,,,
31,,991,,,,,,,1.0355608463287354,0.7358362078666687,1.7713972330093384
31,9.99999993922529e-09,991,,,,1.1712526082992554,0.760195791721344,1.9314484596252441,,,
