epoch,learning_rate,step,test_loss,train_loss,val_loss
0,,30,,,2.6788740158081055
0,0.0,30,,2.768207311630249,
1,,61,,,2.670849084854126
1,9.999999747378752e-05,61,,2.419512987136841,
2,,92,,,2.3311333656311035
2,0.00019999999494757503,92,,2.130952835083008,
3,,123,,,6.721741199493408
3,0.0003000000142492354,123,,2.1565568447113037,
4,,154,,,7.094516754150391
4,0.00039999998989515007,154,,2.059826135635376,
5,,185,,,13.945523262023926
5,0.0005000000237487257,185,,2.0475051403045654,
6,,216,,,7.60569953918457
6,0.0006000000284984708,216,,1.9873313903808594,
7,,247,,,21.189577102661133
7,0.000699999975040555,247,,1.8661367893218994,
8,,278,,,56.08183670043945
8,0.0007999999797903001,278,,1.8409178256988525,
9,,309,,,35.98294448852539
9,0.0008999999845400453,309,,1.8143664598464966,
10,,340,,,4.585158824920654
10,0.0010000000474974513,340,,1.9313212633132935,
11,,371,,,17.203083038330078
11,0.0009440608555451035,371,,1.9329042434692383,
12,,402,,,4.6062541007995605
12,0.0008912509656511247,402,,1.8895583152770996,
13,,433,,,12.250509262084961
13,0.0008413951145485044,433,,1.8050724267959595,
14,,464,,,9.634732246398926
14,0.0007943282253108919,464,,1.8174890279769897,
15,,495,,,9.159363746643066
15,0.0007498941849917173,495,,1.7701808214187622,
16,,526,,,12.169992446899414
16,0.0007079457864165306,526,,1.8336262702941895,
17,,557,,,23.17597198486328
17,0.0006683439132757485,557,,1.7284413576126099,
18,,588,,,11.692878723144531
18,0.000630957365501672,588,,1.677350401878357,
19,,619,,,9.61666202545166
19,0.0005956621607765555,619,,1.7553150653839111,
20,,650,,,6.3681745529174805
20,0.000562341301701963,650,,1.8268805742263794,
21,,681,,,22.367563247680664
21,0.0005308844265528023,681,,1.7716907262802124,
22,,712,,,8.67099380493164
22,0.0005011872272007167,712,,1.6759508848190308,
23,,743,,,2.7489092350006104
23,0.00047315124538727105,743,,1.680262804031372,
24,,774,,,3.6545209884643555
24,0.00044668358168564737,774,,1.6664724349975586,
25,,805,,,17.751022338867188
25,0.0004216965171508491,805,,1.6144710779190063,
26,,836,,,4.2264604568481445
26,0.0003981071640737355,836,,1.632169246673584,
27,,867,,,22.157554626464844
27,0.0003758374077733606,867,,1.5590033531188965,
28,,898,,,5.5395941734313965
28,0.0003548133827280253,898,,1.691955327987671,
29,,929,,,2.4267563819885254
29,0.00033496544347144663,929,,1.6148313283920288,
30,,960,,,6.840882778167725
30,0.0003162277571391314,960,,1.5485084056854248,
31,,991,,,3.803842067718506
31,0.00029853827436454594,991,,1.6044021844863892,
32,,1022,,,2.713409662246704
32,0.00028183829272165895,1022,,1.6567473411560059,
33,,1053,,,2.900618314743042
33,0.00026607251493260264,1053,,1.5840115547180176,
34,,1084,,,3.6132001876831055
34,0.0002511886414140463,1084,,1.5750724077224731,
35,,1115,,,3.7171099185943604
35,0.00023713737027719617,1115,,1.4385250806808472,
36,,1146,,,3.188225030899048
36,0.00022387212084140629,1146,,1.6227402687072754,
37,,1177,,,3.798569440841675
37,0.00021134890266694129,1177,,1.603137731552124,
38,,1208,,,3.2657887935638428
38,0.0001995262282434851,1208,,1.5580641031265259,
39,,1239,,,2.4298582077026367
39,0.00018836490926332772,1239,,1.5763614177703857,
40,,1270,,,2.8076348304748535
40,0.00017782794020604342,1270,,1.5310163497924805,
41,,1301,,,7.818195343017578
41,0.00016788039647508413,1301,,1.4615243673324585,
42,,1332,,,2.6663992404937744
42,0.00015848931798245758,1332,,1.5552624464035034,
43,,1363,,,3.9308102130889893
43,0.00014962356362957507,1363,,1.457777738571167,
44,,1394,,,2.8185622692108154
44,0.00014125375309959054,1394,,1.5287559032440186,
45,,1425,,,2.4136459827423096
45,0.0001333521504420787,1425,,1.5120071172714233,
46,,1456,,,3.821467638015747
46,0.0001258925476577133,1456,,1.5147117376327515,
47,,1487,,,2.3196938037872314
47,0.0001188502210425213,1487,,1.4943190813064575,
48,,1518,,,2.4741458892822266
48,0.00011220184387639165,1518,,1.4544440507888794,
49,,1549,,,3.8996360301971436
49,0.00010592537000775337,1549,,1.512023687362671,
50,,1550,4.33419942855835,,
