epoch,learning_rate,step,train_crossentropy_loss,train_focal_loss,train_loss,val_crossentropy_loss,val_focal_loss,val_loss
0,,30,,,,1.7853021621704102,2.4785449504852295,4.263846397399902
0,9.999999747378752e-05,30,1.6060415506362915,2.5026767253875732,4.108718395233154,,,
1,,61,,,,1.9355645179748535,2.5177435874938965,4.453308582305908
1,9.999999747378752e-05,61,1.4580011367797852,2.1579432487487793,3.6159446239471436,,,
2,,92,,,,nan,nan,nan
2,9.999999747378752e-05,92,nan,nan,nan,,,
