epoch,learning_rate,step,train_crossentropy_loss,train_dice_loss,train_loss,val_crossentropy_loss,val_dice_loss,val_loss
50,,3161,,,,1.7236757278442383,0.4360347390174866,2.159710645675659
50,9.999999974752427e-07,3161,1.536652684211731,0.5104711651802063,2.047123908996582,,,
51,,3223,,,,1.7774807214736938,0.43528833985328674,2.212769031524658
51,9.999999974752427e-07,3223,1.5964593887329102,0.5267810225486755,2.1232402324676514,,,
52,,3285,,,,1.7595696449279785,0.438538521528244,2.1981074810028076
52,9.999999974752427e-07,3285,1.5251492261886597,0.5085697174072266,2.033719301223755,,,
53,,3347,,,,1.72869873046875,0.43314677476882935,2.1618454456329346
53,9.999999974752427e-07,3347,1.5112524032592773,0.5031670928001404,2.0144193172454834,,,
54,,3409,,,,1.7830724716186523,0.4387074410915375,2.221780776977539
54,9.999999974752427e-07,3409,1.53113853931427,0.5028058290481567,2.033944606781006,,,
55,,3471,,,,1.7810308933258057,0.4355609714984894,2.2165913581848145
55,9.999999974752427e-07,3471,1.5577812194824219,0.521564781665802,2.079345703125,,,
56,,3533,,,,1.7414532899856567,0.4319216310977936,2.1733756065368652
56,9.999999974752427e-07,3533,1.5505950450897217,0.512270987033844,2.0628662109375,,,
57,,3595,,,,1.716681718826294,0.4363858997821808,2.1530678272247314
57,1.0000000116860974e-07,3595,1.611881971359253,0.5338158011436462,2.1456973552703857,,,
58,,3657,,,,1.7443023920059204,0.4347924292087555,2.1790945529937744
58,1.0000000116860974e-07,3657,1.598225712776184,0.5225414037704468,2.12076735496521,,,
59,,3719,,,,1.782220721244812,0.4362436532974243,2.218463659286499
59,1.0000000116860974e-07,3719,1.5136228799819946,0.5060783624649048,2.0197012424468994,,,
60,,3781,,,,1.75334894657135,0.4369454085826874,2.1902942657470703
60,1.0000000116860974e-07,3781,1.5698540210723877,0.5123238563537598,2.0821776390075684,,,
61,,3843,,,,1.734640121459961,0.4342038333415985,2.1688437461853027
61,1.0000000116860974e-07,3843,1.5741609334945679,0.5167845487594604,2.0909454822540283,,,
62,,3905,,,,1.7017184495925903,0.4381926357746124,2.1399130821228027
62,1.0000000116860974e-07,3905,1.5108500719070435,0.513764500617981,2.0246145725250244,,,
