epoch,learning_rate,step,train_crossentropy_loss,train_dice_loss,train_loss,val_crossentropy_loss,val_dice_loss,val_loss
0,,24,,,,3.7374134063720703,0.6952129602432251,4.4326252937316895
0,9.999999747378752e-05,24,3.5230553150177,0.7873256206512451,4.310380935668945,,,
1,,49,,,,3.370997190475464,0.6853002905845642,4.056299686431885
1,9.999999747378752e-05,49,3.238940477371216,0.7577340602874756,3.9966742992401123,,,
2,,74,,,,3.218863010406494,0.6851340532302856,3.9039974212646484
2,9.999999747378752e-05,74,3.076145648956299,0.7615420818328857,3.8376874923706055,,,
3,,99,,,,3.1051950454711914,0.6584839820861816,3.763676643371582
3,9.999999747378752e-05,99,3.020763635635376,0.7022415399551392,3.723005771636963,,,
4,,124,,,,3.320840835571289,0.650134801864624,3.970978260040283
4,9.999999747378752e-05,124,2.9150891304016113,0.7250531911849976,3.6401424407958984,,,
5,,149,,,,3.402650833129883,0.6545090675354004,4.057161331176758
5,9.999999747378752e-05,149,2.781860113143921,0.6982975006103516,3.4801573753356934,,,
6,,174,,,,4.370913028717041,0.6992862820625305,5.070199489593506
6,9.999999747378752e-05,174,2.7326791286468506,0.7164658308029175,3.4491448402404785,,,
7,,199,,,,4.1727118492126465,0.7086365222930908,4.881351470947266
7,9.999999747378752e-05,199,2.625638008117676,0.6661649346351624,3.2918028831481934,,,
8,,224,,,,3.4351577758789062,0.6905518174171448,4.125709533691406
8,9.999999747378752e-05,224,2.621555805206299,0.6977425217628479,3.31929874420166,,,
9,,249,,,,3.025062322616577,0.6372904181480408,3.662353038787842
9,9.999999747378752e-05,249,2.6283812522888184,0.7067034244537354,3.3350844383239746,,,
10,,274,,,,4.052224636077881,0.7080457210540771,4.76026725769043
10,9.999999747378752e-05,274,2.4192023277282715,0.6622428894042969,3.0814452171325684,,,
11,,299,,,,3.144991636276245,0.6687723994255066,3.8137624263763428
11,9.999999747378752e-05,299,2.506284475326538,0.676720380783081,3.183004856109619,,,
12,,324,,,,3.470609426498413,0.6937916278839111,4.164400577545166
12,9.999999747378752e-05,324,2.4324278831481934,0.6989100575447083,3.131337881088257,,,
13,,349,,,,2.893738269805908,0.6450375914573669,3.5387766361236572
13,9.999999747378752e-05,349,2.344440460205078,0.6332328915596008,2.9776735305786133,,,
14,,374,,,,2.905625820159912,0.6483008861541748,3.5539257526397705
14,9.999999747378752e-05,374,2.3753397464752197,0.6590344905853271,3.0343737602233887,,,
15,,399,,,,3.548276901245117,0.6919562816619873,4.240233421325684
15,9.999999747378752e-05,399,2.266880512237549,0.6631755232810974,2.930055856704712,,,
16,,424,,,,3.286144495010376,0.6790454387664795,3.9651896953582764
16,9.999999747378752e-05,424,2.136096477508545,0.6235702633857727,2.759666681289673,,,
